DATE,PRICE,ADDRESS,AREAS,BEDROOMS,PARKING-SPACES,BATHROOMS,CONDOMÍNIO,IPTU,TIPO
2021-08-05 16:34:17.779170-03:00,R$ 460.000,"Rua Natal, Alto da Glória",94 m²,3,2,3,R$ 490,R$ 660,apartamentos
2021-08-05 16:34:17.779626-03:00,R$ 2.100.000,"Avenida Americano do Brasil, Setor Marista",252 m²,4,4,6,R$ 1.680,R$ 3.000,apartamentos
2021-08-05 16:34:17.780062-03:00,R$ 400.000,"Rua São Luis, Alto da Glória",62 m²,2,2,2,R$ 540,,apartamentos
2021-08-05 16:34:17.780489-03:00,R$ 315.000,"Rua A20, Vila Alpes",84 m²,3,2,2,R$ 380,,apartamentos
2021-08-05 16:34:17.780872-03:00,R$ 379.000,"Rua T 27, Setor Bueno",67 m²,2,1,2,R$ 350,,apartamentos
2021-08-05 16:34:17.781259-03:00,R$ 1.258.577,"Rua 36, Setor Marista",164 m²,3 - 4,3 - 4,5 - 6,,,apartamentos
2021-08-05 16:34:17.781643-03:00,R$ 1.917.005,"Rua 36, Setor Marista",243 m²,3 - 4,3 - 4,5 - 6,,,apartamentos
2021-08-05 16:34:17.781991-03:00,R$ 1.098.900,"Rua 36, Setor Marista",162 - 240 m²,3 - 4,3 - 4,5 - 6,,,apartamentos
2021-08-05 16:34:17.782330-03:00,R$ 260.000,"Rua S 4, Setor Bela Vista",87 m²,3,1,3,R$ 523,R$ 1,apartamentos
2021-08-05 16:34:17.782816-03:00,R$ 265.000,"Parque Amazônia, Goiânia",72 m²,3,1,4,R$ 357,,apartamentos
2021-08-05 16:34:17.783218-03:00,R$ 665.000,"Setor Bueno, Goiânia",103 m²,3,2,4,,,apartamentos
2021-08-05 16:34:17.783578-03:00,R$ 315.000,"Rua A20, Vila Alpes",84 m²,3,2,2,R$ 380,,apartamentos
2021-08-05 16:34:17.783989-03:00,R$ 379.000,"Rua T 27, Setor Bueno",67 m²,2,1,2,R$ 350,,apartamentos
2021-08-05 16:34:17.784375-03:00,R$ 260.438,"Avenida Dona Maria Cardoso,",59 m²,2,1,2,,,apartamentos
2021-08-05 16:34:17.784760-03:00,R$ 680.000,"Rua C228, Jardim América",121 m²,3,2,5,R$ 500,R$ 850,apartamentos
2021-08-05 16:34:17.785180-03:00,R$ 220.000,"Rua 408, Setor Negrão de Lima",58 m²,2,1,2,R$ 300,R$ 300,apartamentos
2021-08-05 16:34:17.785617-03:00,R$ 280.000,"Rua do Siri, Jardim Atlântico",63 m²,2,2,2,R$ 290,,apartamentos
2021-08-05 16:34:17.786043-03:00,R$ 199.990,"Rua 24, Setor Central",85 m²,3,1,3,R$ 400,R$ 700,apartamentos
2021-08-05 16:34:17.786582-03:00,R$ 260.000,"Rua Canuma, Parque Amazônia",57 m²,2,1,2,R$ 250,R$ 400,apartamentos
